央视频道,#genre#
CCTV1,http://222.217.247.72:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://118.248.169.168:8088/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://222.217.247.72:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://222.217.247.72:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.217.247.72:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://222.217.247.72:8181/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://222.217.247.72:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://118.248.169.168:8088/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://222.217.247.72:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://222.217.247.72:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV台球,http://222.217.247.72:8181/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV精品,http://222.217.247.72:8181/tsfile/live/1107_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
XF星空卫视,http://222.217.247.72:8181/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://222.217.247.72:8181/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视g,http://222.217.247.72:8181/tsfile/live/1092_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://222.217.247.72:8181/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://222.217.247.72:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://222.217.247.72:8181/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视LT,http://222.217.247.72:8181/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://118.248.169.168:8088/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视lt,http://222.217.247.72:8181/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://222.217.247.72:8181/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://222.217.247.72:8181/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://222.217.247.72:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://222.217.247.72:8181/tsfile/live/1047_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://222.217.247.72:8181/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视LT,http://222.217.247.72:8181/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://222.217.247.72:8181/tsfile/live/1046_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://222.217.247.72:8181/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视lt,http://222.217.247.72:8181/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://222.217.247.72:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://222.217.247.72:8181/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
XF有线电的高娱乐1,http://222.217.247.72:8181/tsfile/live/1075_1.m3u8?key=txiptv&playlive=1&authid=0
XF有线电视娱乐2,http://222.217.247.72:8181/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
XF有线电视娱乐3,http://222.217.247.72:8181/tsfile/live/1080_1.m3u8?key=txiptv&playlive=1&authid=0
